Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Australia,South Australia,AU-SA,48.38,96.71,91.04,91.04,opennem.org.au,false,
2024-01-01 01:00:00,Australia,South Australia,AU-SA,33.61,81.12,93.09,93.09,opennem.org.au,false,
2024-01-01 02:00:00,Australia,South Australia,AU-SA,63.99,112.48,89.09,89.09,opennem.org.au,false,
2024-01-01 03:00:00,Australia,South Australia,AU-SA,53.95,101.6,90.35,90.35,opennem.org.au,false,
2024-01-01 04:00:00,Australia,South Australia,AU-SA,74.27,119.77,87.62,87.62,opennem.org.au,false,
2024-01-01 05:00:00,Australia,South Australia,AU-SA,41.59,82.29,91.94,91.94,opennem.org.au,false,
2024-01-01 06:00:00,Australia,South Australia,AU-SA,92.07,131.81,84.22,84.22,opennem.org.au,false,
2024-01-01 07:00:00,Australia,South Australia,AU-SA,137.91,179.63,77.05,77.05,opennem.org.au,false,
2024-01-01 08:00:00,Australia,South Australia,AU-SA,102.29,138.11,81.69,81.69,opennem.org.au,false,
2024-01-01 09:00:00,Australia,South Australia,AU-SA,141.67,173.05,76.42,76.42,opennem.org.au,false,
2024-01-01 10:00:00,Australia,South Australia,AU-SA,177.04,207.81,71.61,71.61,opennem.org.au,false,
2024-01-01 11:00:00,Australia,South Australia,AU-SA,175.18,206.61,71.5,71.5,opennem.org.au,false,
2024-01-01 12:00:00,Australia,South Australia,AU-SA,145.44,175.51,75.02,75.02,opennem.org.au,false,
2024-01-01 13:00:00,Australia,South Australia,AU-SA,137.11,166.38,76.13,76.13,opennem.org.au,false,
2024-01-01 14:00:00,Australia,South Australia,AU-SA,152.25,182.23,74.38,74.38,opennem.org.au,false,
2024-01-01 15:00:00,Australia,South Australia,AU-SA,147.8,178.06,74.71,74.71,opennem.org.au,false,
2024-01-01 16:00:00,Australia,South Australia,AU-SA,93.97,121.38,81.41,81.41,opennem.org.au,false,
2024-01-01 17:00:00,Australia,South Australia,AU-SA,118.72,148.23,77.85,77.85,opennem.org.au,false,
2024-01-01 18:00:00,Australia,South Australia,AU-SA,104.3,132.92,79.73,79.73,opennem.org.au,false,
2024-01-01 19:00:00,Australia,South Australia,AU-SA,132.65,162.57,76.32,76.32,opennem.org.au,false,
2024-01-01 20:00:00,Australia,South Australia,AU-SA,125.29,156.98,77.44,77.44,opennem.org.au,false,
2024-01-01 21:00:00,Australia,South Australia,AU-SA,42.17,76.3,89.53,89.53,opennem.org.au,false,
2024-01-01 22:00:00,Australia,South Australia,AU-SA,18.4,55.26,95.03,95.03,opennem.org.au,false,
2024-01-01 23:00:00,Australia,South Australia,AU-SA,16.99,58.85,95.45,95.45,opennem.org.au,false,
2024-01-02 00:00:00,Australia,South Australia,AU-SA,15.07,58.96,95.93,95.93,opennem.org.au,false,
2024-01-02 01:00:00,Australia,South Australia,AU-SA,14.69,59.57,96.03,96.03,opennem.org.au,false,
2024-01-02 02:00:00,Australia,South Australia,AU-SA,13.21,57.54,96.43,96.43,opennem.org.au,false,
2024-01-02 03:00:00,Australia,South Australia,AU-SA,12.8,56.19,96.54,96.54,opennem.org.au,false,
2024-01-02 04:00:00,Australia,South Australia,AU-SA,10.54,51.65,97.15,97.15,opennem.org.au,false,
2024-01-02 05:00:00,Australia,South Australia,AU-SA,15.56,54.91,95.79,95.79,opennem.org.au,false,
2024-01-02 06:00:00,Australia,South Australia,AU-SA,23.47,61.47,93.66,93.66,opennem.org.au,false,
2024-01-02 07:00:00,Australia,South Australia,AU-SA,40.54,79.22,89.04,89.04,opennem.org.au,false,
2024-01-02 08:00:00,Australia,South Australia,AU-SA,55.13,91.83,85.29,85.29,opennem.org.au,false,
2024-01-02 09:00:00,Australia,South Australia,AU-SA,99.58,135.02,77.77,77.77,opennem.org.au,false,
2024-01-02 10:00:00,Australia,South Australia,AU-SA,108.25,143.26,75.66,75.66,opennem.org.au,false,
2024-01-02 11:00:00,Australia,South Australia,AU-SA,85.72,120.15,77.94,77.94,opennem.org.au,false,
2024-01-02 12:00:00,Australia,South Australia,AU-SA,95.23,131.76,75.8,75.8,opennem.org.au,false,
2024-01-02 13:00:00,Australia,South Australia,AU-SA,153.75,195.19,67.5,67.5,opennem.org.au,false,
2024-01-02 14:00:00,Australia,South Australia,AU-SA,255.86,303.46,54.46,54.46,opennem.org.au,false,
2024-01-02 15:00:00,Australia,South Australia,AU-SA,226.31,272.88,57.79,57.79,opennem.org.au,false,
2024-01-02 16:00:00,Australia,South Australia,AU-SA,177.84,222.61,63.17,63.17,opennem.org.au,false,
2024-01-02 17:00:00,Australia,South Australia,AU-SA,166.95,210.82,64.76,64.76,opennem.org.au,false,
2024-01-02 18:00:00,Australia,South Australia,AU-SA,98.66,138.09,73.7,73.7,opennem.org.au,false,
2024-01-02 19:00:00,Australia,South Australia,AU-SA,237.29,289.05,53.59,53.59,opennem.org.au,false,
2024-01-02 20:00:00,Australia,South Australia,AU-SA,253.95,314.49,47.71,47.71,opennem.org.au,false,
2024-01-02 21:00:00,Australia,South Australia,AU-SA,260.56,319.01,51.16,51.16,opennem.org.au,false,
2024-01-02 22:00:00,Australia,South Australia,AU-SA,240.0,294.09,57.33,57.33,opennem.org.au,false,
2024-01-02 23:00:00,Australia,South Australia,AU-SA,229.05,281.72,59.7,59.7,opennem.org.au,false,
2024-01-03 00:00:00,Australia,South Australia,AU-SA,184.89,237.09,65.38,65.38,opennem.org.au,false,
2024-01-03 01:00:00,Australia,South Australia,AU-SA,119.11,173.15,72.74,72.74,opennem.org.au,false,
2024-01-03 02:00:00,Australia,South Australia,AU-SA,77.12,127.23,79.16,79.16,opennem.org.au,false,
2024-01-03 03:00:00,Australia,South Australia,AU-SA,95.22,149.74,74.3,74.3,opennem.org.au,false,
2024-01-03 04:00:00,Australia,South Australia,AU-SA,95.2,149.14,74.27,74.27,opennem.org.au,false,
2024-01-03 05:00:00,Australia,South Australia,AU-SA,92.67,144.42,74.95,74.95,opennem.org.au,false,
2024-01-03 06:00:00,Australia,South Australia,AU-SA,94.81,143.2,74.52,74.52,opennem.org.au,false,
2024-01-03 07:00:00,Australia,South Australia,AU-SA,101.07,149.01,72.88,72.88,opennem.org.au,false,
2024-01-03 08:00:00,Australia,South Australia,AU-SA,146.63,198.69,63.02,63.02,opennem.org.au,false,
2024-01-03 09:00:00,Australia,South Australia,AU-SA,163.95,216.75,58.99,58.99,opennem.org.au,false,
2024-01-03 10:00:00,Australia,South Australia,AU-SA,160.44,213.7,59.04,59.04,opennem.org.au,false,
2024-01-03 11:00:00,Australia,South Australia,AU-SA,110.02,152.14,71.05,71.05,opennem.org.au,false,
