Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 01:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 02:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 03:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 04:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 05:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 06:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 07:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 08:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 09:00:00,Australia,Western Australia,AU-WA,0.0,45.0,100.0,100.0,opennem.org.au,false,
2024-01-01 10:00:00,Australia,Western Australia,AU-WA,401.44,464.15,34.06,34.06,opennem.org.au,false,
2024-01-01 11:00:00,Australia,Western Australia,AU-WA,426.27,494.05,27.79,27.79,opennem.org.au,false,
2024-01-01 12:00:00,Australia,Western Australia,AU-WA,439.32,505.73,26.74,26.74,opennem.org.au,false,
2024-01-01 13:00:00,Australia,Western Australia,AU-WA,429.33,496.69,26.76,26.76,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 14:00:00,Australia,Western Australia,AU-WA,417.03,484.12,28.1,28.1,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 15:00:00,Australia,Western Australia,AU-WA,403.05,469.82,29.63,29.63,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 16:00:00,Australia,Western Australia,AU-WA,395.3,461.9,30.47,30.47,Electricity Maps Estimation; opennem.org.au,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 17:00:00,Australia,Western Australia,AU-WA,429.36,500.34,24.68,24.68,opennem.org.au,false,
2024-01-01 18:00:00,Australia,Western Australia,AU-WA,419.01,488.78,26.32,26.32,opennem.org.au,false,
2024-01-01 19:00:00,Australia,Western Australia,AU-WA,457.63,533.1,19.47,19.47,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 20:00:00,Australia,Western Australia,AU-WA,478.08,557.09,15.82,15.82,Electricity Maps Estimation; opennem.org.au,true,ESTIMATED_TIME_SLICER_AVERAGE
