Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,South Korea,South Korea,KR,329.05,386.76,41.56,2.86,new.kpx.or.kr,false,
2024-01-01 01:00:00,South Korea,South Korea,KR,322.84,379.33,43.26,4.3,new.kpx.or.kr,false,
2024-01-01 02:00:00,South Korea,South Korea,KR,312.54,367.67,45.35,5.61,new.kpx.or.kr,false,
2024-01-01 03:00:00,South Korea,South Korea,KR,309.21,364.16,45.93,6.22,new.kpx.or.kr,false,
2024-01-01 04:00:00,South Korea,South Korea,KR,310.67,365.89,45.69,6.45,new.kpx.or.kr,false,
2024-01-01 05:00:00,South Korea,South Korea,KR,323.38,380.1,43.28,4.85,new.kpx.or.kr,false,
2024-01-01 06:00:00,South Korea,South Korea,KR,332.04,390.82,40.9,3.46,new.kpx.or.kr,false,
2024-01-01 07:00:00,South Korea,South Korea,KR,342.48,402.92,38.49,1.9,new.kpx.or.kr,false,
2024-01-01 08:00:00,South Korea,South Korea,KR,355.98,415.72,37.67,2.8,new.kpx.or.kr,false,
2024-01-01 09:00:00,South Korea,South Korea,KR,359.01,418.7,37.49,3.41,new.kpx.or.kr,false,
2024-01-01 10:00:00,South Korea,South Korea,KR,359.3,418.33,37.97,3.78,new.kpx.or.kr,false,
2024-01-01 11:00:00,South Korea,South Korea,KR,359.53,418.66,37.89,3.34,new.kpx.or.kr,false,
2024-01-01 12:00:00,South Korea,South Korea,KR,359.33,418.21,38.0,2.84,new.kpx.or.kr,false,
2024-01-01 13:00:00,South Korea,South Korea,KR,359.6,417.89,38.39,3.12,new.kpx.or.kr,false,
2024-01-01 14:00:00,South Korea,South Korea,KR,359.4,417.79,38.31,2.91,new.kpx.or.kr,false,
2024-01-01 15:00:00,South Korea,South Korea,KR,357.48,416.67,37.66,0.61,new.kpx.or.kr,false,
2024-01-01 16:00:00,South Korea,South Korea,KR,359.59,417.44,38.2,0.14,new.kpx.or.kr,false,
2024-01-01 17:00:00,South Korea,South Korea,KR,364.22,421.92,37.85,0.13,new.kpx.or.kr,false,
2024-01-01 18:00:00,South Korea,South Korea,KR,371.18,427.84,37.83,0.12,new.kpx.or.kr,false,
2024-01-01 19:00:00,South Korea,South Korea,KR,374.45,431.19,37.47,0.12,new.kpx.or.kr,false,
2024-01-01 20:00:00,South Korea,South Korea,KR,377.23,435.51,36.3,0.11,new.kpx.or.kr,false,
2024-01-01 21:00:00,South Korea,South Korea,KR,388.95,449.85,33.63,0.13,new.kpx.or.kr,false,
2024-01-01 22:00:00,South Korea,South Korea,KR,398.1,461.76,31.12,0.11,new.kpx.or.kr,false,
2024-01-01 23:00:00,South Korea,South Korea,KR,405.25,471.64,28.92,0.83,new.kpx.or.kr,false,
2024-01-02 00:00:00,South Korea,South Korea,KR,406.71,473.12,29.05,2.32,new.kpx.or.kr,false,
2024-01-02 01:00:00,South Korea,South Korea,KR,400.8,466.49,30.34,4.05,new.kpx.or.kr,false,
2024-01-02 02:00:00,South Korea,South Korea,KR,404.16,470.13,29.96,4.42,new.kpx.or.kr,false,
2024-01-02 03:00:00,South Korea,South Korea,KR,403.57,470.23,29.37,2.77,new.kpx.or.kr,false,
2024-01-02 04:00:00,South Korea,South Korea,KR,405.57,472.48,29.14,3.21,new.kpx.or.kr,false,
2024-01-02 05:00:00,South Korea,South Korea,KR,410.34,477.07,28.77,3.16,new.kpx.or.kr,false,
2024-01-02 06:00:00,South Korea,South Korea,KR,412.66,479.42,28.43,3.01,new.kpx.or.kr,false,
2024-01-02 07:00:00,South Korea,South Korea,KR,416.47,483.03,28.05,2.8,new.kpx.or.kr,false,
2024-01-02 08:00:00,South Korea,South Korea,KR,419.89,486.35,27.73,2.4,new.kpx.or.kr,false,
2024-01-02 09:00:00,South Korea,South Korea,KR,419.91,484.98,28.63,2.7,new.kpx.or.kr,false,
2024-01-02 10:00:00,South Korea,South Korea,KR,427.31,491.86,28.28,2.83,new.kpx.or.kr,false,
2024-01-02 11:00:00,South Korea,South Korea,KR,429.97,493.65,28.47,2.15,new.kpx.or.kr,false,
2024-01-02 12:00:00,South Korea,South Korea,KR,431.27,494.63,28.43,1.23,new.kpx.or.kr,false,
2024-01-02 13:00:00,South Korea,South Korea,KR,430.79,495.6,27.48,0.33,new.kpx.or.kr,false,
2024-01-02 14:00:00,South Korea,South Korea,KR,431.49,494.88,28.39,0.98,new.kpx.or.kr,false,
2024-01-02 15:00:00,South Korea,South Korea,KR,433.76,494.25,29.91,0.94,new.kpx.or.kr,false,
2024-01-02 16:00:00,South Korea,South Korea,KR,434.36,493.97,30.26,0.13,new.kpx.or.kr,false,
2024-01-02 17:00:00,South Korea,South Korea,KR,434.69,493.42,30.75,0.13,new.kpx.or.kr,false,
2024-01-02 18:00:00,South Korea,South Korea,KR,435.13,494.2,30.5,0.13,new.kpx.or.kr,false,
2024-01-02 19:00:00,South Korea,South Korea,KR,434.67,494.23,30.24,0.13,new.kpx.or.kr,false,
2024-01-02 20:00:00,South Korea,South Korea,KR,431.74,492.76,29.63,0.13,new.kpx.or.kr,false,
2024-01-02 21:00:00,South Korea,South Korea,KR,429.3,492.54,28.52,0.13,new.kpx.or.kr,false,
2024-01-02 22:00:00,South Korea,South Korea,KR,428.62,495.34,26.48,0.1,new.kpx.or.kr,false,
2024-01-02 23:00:00,South Korea,South Korea,KR,422.14,492.82,24.8,0.93,new.kpx.or.kr,false,
2024-01-03 00:00:00,South Korea,South Korea,KR,419.24,490.74,24.74,1.86,new.kpx.or.kr,false,
2024-01-03 01:00:00,South Korea,South Korea,KR,415.98,486.41,25.88,2.78,new.kpx.or.kr,false,
2024-01-03 02:00:00,South Korea,South Korea,KR,411.13,480.69,27.02,3.24,new.kpx.or.kr,false,
2024-01-03 03:00:00,South Korea,South Korea,KR,404.86,473.13,28.45,3.64,new.kpx.or.kr,false,
2024-01-03 04:00:00,South Korea,South Korea,KR,407.8,476.87,27.67,3.63,new.kpx.or.kr,false,
2024-01-03 05:00:00,South Korea,South Korea,KR,412.62,482.19,26.76,3.07,new.kpx.or.kr,false,
2024-01-03 06:00:00,South Korea,South Korea,KR,415.8,485.36,26.31,2.61,new.kpx.or.kr,false,
2024-01-03 07:00:00,South Korea,South Korea,KR,420.32,489.8,25.77,2.14,new.kpx.or.kr,false,
2024-01-03 08:00:00,South Korea,South Korea,KR,424.01,493.18,25.54,1.65,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-03 09:00:00,South Korea,South Korea,KR,426.04,494.98,25.44,1.45,Electricity Maps Estimation; new.kpx.or.kr,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-03 10:00:00,South Korea,South Korea,KR,430.19,497.85,25.77,1.17,new.kpx.or.kr,false,
2024-01-03 11:00:00,South Korea,South Korea,KR,432.38,498.51,26.5,1.04,new.kpx.or.kr,false,
2024-01-03 12:00:00,South Korea,South Korea,KR,433.64,498.74,26.98,0.67,new.kpx.or.kr,false,
2024-01-03 13:00:00,South Korea,South Korea,KR,434.4,498.53,27.59,1.13,new.kpx.or.kr,false,
2024-01-03 14:00:00,South Korea,South Korea,KR,434.3,499.21,27.04,0.36,new.kpx.or.kr,false,
2024-01-03 15:00:00,South Korea,South Korea,KR,434.83,497.44,28.33,0.12,new.kpx.or.kr,false,
2024-01-03 16:00:00,South Korea,South Korea,KR,433.18,494.25,29.42,0.13,new.kpx.or.kr,false,
2024-01-03 17:00:00,South Korea,South Korea,KR,430.41,491.67,29.57,0.13,new.kpx.or.kr,false,
2024-01-03 18:00:00,South Korea,South Korea,KR,429.14,490.57,29.61,0.13,new.kpx.or.kr,false,
2024-01-03 19:00:00,South Korea,South Korea,KR,428.67,490.59,29.35,0.13,new.kpx.or.kr,false,
2024-01-03 20:00:00,South Korea,South Korea,KR,427.68,490.23,29.06,0.12,new.kpx.or.kr,false,
2024-01-03 21:00:00,South Korea,South Korea,KR,425.71,490.56,27.87,0.14,new.kpx.or.kr,false,
2024-01-03 22:00:00,South Korea,South Korea,KR,423.15,492.28,25.61,0.09,new.kpx.or.kr,false,
2024-01-03 23:00:00,South Korea,South Korea,KR,417.67,489.8,24.43,1.03,new.kpx.or.kr,false,
2024-01-04 00:00:00,South Korea,South Korea,KR,410.81,482.19,25.8,2.44,new.kpx.or.kr,false,
2024-01-04 01:00:00,South Korea,South Korea,KR,398.3,467.31,28.86,4.57,new.kpx.or.kr,false,
2024-01-04 02:00:00,South Korea,South Korea,KR,387.41,454.46,31.43,6.19,new.kpx.or.kr,false,
2024-01-04 03:00:00,South Korea,South Korea,KR,383.85,449.01,33.06,6.69,new.kpx.or.kr,false,
2024-01-04 04:00:00,South Korea,South Korea,KR,388.96,454.76,32.11,6.28,new.kpx.or.kr,false,
2024-01-04 05:00:00,South Korea,South Korea,KR,395.71,461.81,31.04,5.53,new.kpx.or.kr,false,
2024-01-04 06:00:00,South Korea,South Korea,KR,408.02,474.38,29.42,4.52,new.kpx.or.kr,false,
2024-01-04 07:00:00,South Korea,South Korea,KR,419.11,485.5,28.18,4.15,new.kpx.or.kr,false,
2024-01-04 08:00:00,South Korea,South Korea,KR,423.77,491.93,26.34,2.53,new.kpx.or.kr,false,
2024-01-04 09:00:00,South Korea,South Korea,KR,424.61,493.08,25.96,1.85,new.kpx.or.kr,false,
2024-01-04 10:00:00,South Korea,South Korea,KR,426.87,495.0,25.87,1.28,new.kpx.or.kr,false,
2024-01-04 11:00:00,South Korea,South Korea,KR,429.15,495.19,26.98,1.44,new.kpx.or.kr,false,
2024-01-04 12:00:00,South Korea,South Korea,KR,430.62,495.35,27.62,1.23,new.kpx.or.kr,false,
2024-01-04 13:00:00,South Korea,South Korea,KR,431.02,494.53,28.43,1.9,new.kpx.or.kr,false,
2024-01-04 14:00:00,South Korea,South Korea,KR,430.41,494.83,27.84,1.09,new.kpx.or.kr,false,
2024-01-04 15:00:00,South Korea,South Korea,KR,432.41,495.32,28.41,0.11,new.kpx.or.kr,false,
2024-01-04 16:00:00,South Korea,South Korea,KR,433.47,494.27,29.57,0.12,new.kpx.or.kr,false,
2024-01-04 17:00:00,South Korea,South Korea,KR,433.85,494.1,29.87,0.12,new.kpx.or.kr,false,
2024-01-04 18:00:00,South Korea,South Korea,KR,432.91,493.78,29.58,0.12,new.kpx.or.kr,false,
2024-01-04 19:00:00,South Korea,South Korea,KR,432.66,493.81,29.44,0.12,new.kpx.or.kr,false,
2024-01-04 20:00:00,South Korea,South Korea,KR,431.73,494.02,28.85,0.12,new.kpx.or.kr,false,
2024-01-04 21:00:00,South Korea,South Korea,KR,429.63,494.39,27.57,0.13,new.kpx.or.kr,false,
2024-01-04 22:00:00,South Korea,South Korea,KR,426.92,494.51,26.17,0.13,new.kpx.or.kr,false,
2024-01-04 23:00:00,South Korea,South Korea,KR,423.01,491.88,26.04,2.02,new.kpx.or.kr,false,
2024-01-05 00:00:00,South Korea,South Korea,KR,418.84,488.35,26.12,2.46,new.kpx.or.kr,false,
2024-01-05 01:00:00,South Korea,South Korea,KR,415.07,483.12,27.59,3.48,new.kpx.or.kr,false,
2024-01-05 02:00:00,South Korea,South Korea,KR,411.54,478.24,28.85,3.95,new.kpx.or.kr,false,
2024-01-05 03:00:00,South Korea,South Korea,KR,409.97,475.11,29.97,3.9,new.kpx.or.kr,false,
2024-01-05 04:00:00,South Korea,South Korea,KR,411.09,476.44,29.79,4.15,new.kpx.or.kr,false,
2024-01-05 05:00:00,South Korea,South Korea,KR,411.9,477.92,29.25,3.91,new.kpx.or.kr,false,
2024-01-05 06:00:00,South Korea,South Korea,KR,415.65,482.31,28.27,2.98,new.kpx.or.kr,false,
2024-01-05 07:00:00,South Korea,South Korea,KR,422.81,489.8,27.18,2.16,new.kpx.or.kr,false,
2024-01-05 08:00:00,South Korea,South Korea,KR,427.35,494.14,26.76,1.78,new.kpx.or.kr,false,
2024-01-05 09:00:00,South Korea,South Korea,KR,428.39,495.49,26.36,1.09,new.kpx.or.kr,false,
2024-01-05 10:00:00,South Korea,South Korea,KR,428.43,494.86,26.77,1.03,new.kpx.or.kr,false,
2024-01-05 11:00:00,South Korea,South Korea,KR,429.21,494.42,27.46,0.98,new.kpx.or.kr,false,
2024-01-05 12:00:00,South Korea,South Korea,KR,431.14,494.95,28.14,0.89,new.kpx.or.kr,false,
2024-01-05 13:00:00,South Korea,South Korea,KR,431.38,493.81,29.09,1.84,new.kpx.or.kr,false,
2024-01-05 14:00:00,South Korea,South Korea,KR,431.68,491.7,30.75,3.35,new.kpx.or.kr,false,
2024-01-05 15:00:00,South Korea,South Korea,KR,430.61,488.46,32.13,3.23,new.kpx.or.kr,false,
2024-01-05 16:00:00,South Korea,South Korea,KR,425.96,485.73,31.06,1.02,new.kpx.or.kr,false,
2024-01-05 17:00:00,South Korea,South Korea,KR,426.4,487.09,30.31,0.05,new.kpx.or.kr,false,
2024-01-05 18:00:00,South Korea,South Korea,KR,424.16,485.47,30.14,0.05,new.kpx.or.kr,false,
2024-01-05 19:00:00,South Korea,South Korea,KR,413.44,476.7,29.96,0.05,new.kpx.or.kr,false,
2024-01-05 20:00:00,South Korea,South Korea,KR,406.9,471.48,29.78,0.05,new.kpx.or.kr,false,
2024-01-05 21:00:00,South Korea,South Korea,KR,399.02,464.98,29.67,0.05,new.kpx.or.kr,false,
2024-01-05 22:00:00,South Korea,South Korea,KR,390.85,458.63,29.34,0.07,new.kpx.or.kr,false,
2024-01-05 23:00:00,South Korea,South Korea,KR,380.42,448.83,30.07,1.14,new.kpx.or.kr,false,
2024-01-06 00:00:00,South Korea,South Korea,KR,366.45,432.72,33.12,3.22,new.kpx.or.kr,false,
