Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,CAISO,US-CAL-CISO,260.98,337.22,41.58,27.55,caiso.com,false,
2024-01-01 01:00:00,USA,CAISO,US-CAL-CISO,261.35,326.99,44.7,31.88,caiso.com,false,
2024-01-01 02:00:00,USA,CAISO,US-CAL-CISO,261.55,332.16,43.26,29.9,caiso.com,false,
2024-01-01 03:00:00,USA,CAISO,US-CAL-CISO,266.45,339.5,41.65,27.9,caiso.com,false,
2024-01-01 04:00:00,USA,CAISO,US-CAL-CISO,268.07,346.68,39.67,25.28,caiso.com,false,
2024-01-01 05:00:00,USA,CAISO,US-CAL-CISO,271.64,353.32,38.13,23.44,caiso.com,false,
2024-01-01 06:00:00,USA,CAISO,US-CAL-CISO,277.68,363.88,35.62,20.38,caiso.com,false,
2024-01-01 07:00:00,USA,CAISO,US-CAL-CISO,283.35,371.95,33.95,18.39,caiso.com,false,
2024-01-01 08:00:00,USA,CAISO,US-CAL-CISO,288.13,374.92,33.91,18.25,caiso.com,false,
2024-01-01 09:00:00,USA,CAISO,US-CAL-CISO,287.45,376.47,33.53,17.2,caiso.com,false,
2024-01-01 10:00:00,USA,CAISO,US-CAL-CISO,286.82,377.0,33.43,16.69,caiso.com,false,
2024-01-01 11:00:00,USA,CAISO,US-CAL-CISO,286.18,376.27,33.65,16.71,caiso.com,false,
2024-01-01 12:00:00,USA,CAISO,US-CAL-CISO,287.05,377.04,33.64,16.8,caiso.com,false,
2024-01-01 13:00:00,USA,CAISO,US-CAL-CISO,282.48,370.16,35.28,18.5,caiso.com,false,
2024-01-01 14:00:00,USA,CAISO,US-CAL-CISO,277.33,362.12,36.82,20.57,caiso.com,false,
2024-01-01 15:00:00,USA,CAISO,US-CAL-CISO,264.22,344.61,40.69,24.68,caiso.com,false,
2024-01-01 16:00:00,USA,CAISO,US-CAL-CISO,203.49,273.26,54.71,39.56,caiso.com,false,
2024-01-01 17:00:00,USA,CAISO,US-CAL-CISO,169.52,231.32,63.11,48.36,caiso.com,false,
2024-01-01 18:00:00,USA,CAISO,US-CAL-CISO,140.49,196.92,69.2,55.54,caiso.com,false,
2024-01-01 19:00:00,USA,CAISO,US-CAL-CISO,131.68,186.61,70.83,57.3,caiso.com,false,
2024-01-01 20:00:00,USA,CAISO,US-CAL-CISO,122.0,175.88,72.55,59.8,caiso.com,false,
2024-01-01 21:00:00,USA,CAISO,US-CAL-CISO,116.08,168.94,73.81,61.27,caiso.com,false,
2024-01-01 22:00:00,USA,CAISO,US-CAL-CISO,118.86,172.63,72.92,61.07,caiso.com,false,
2024-01-01 23:00:00,USA,CAISO,US-CAL-CISO,160.04,219.55,64.39,51.13,caiso.com,false,
2024-01-02 00:00:00,USA,CAISO,US-CAL-CISO,242.55,314.26,46.64,32.01,caiso.com,false,
2024-01-02 01:00:00,USA,CAISO,US-CAL-CISO,266.74,334.92,43.55,29.96,caiso.com,false,
2024-01-02 02:00:00,USA,CAISO,US-CAL-CISO,267.67,336.59,43.16,29.71,caiso.com,false,
2024-01-02 03:00:00,USA,CAISO,US-CAL-CISO,268.5,339.87,42.24,28.6,caiso.com,false,
2024-01-02 04:00:00,USA,CAISO,US-CAL-CISO,271.16,348.35,39.96,25.75,caiso.com,false,
2024-01-02 05:00:00,USA,CAISO,US-CAL-CISO,273.78,353.53,38.81,24.27,caiso.com,false,
2024-01-02 06:00:00,USA,CAISO,US-CAL-CISO,279.19,364.69,36.2,21.06,caiso.com,false,
2024-01-02 07:00:00,USA,CAISO,US-CAL-CISO,281.48,368.32,35.69,19.78,caiso.com,false,
2024-01-02 08:00:00,USA,CAISO,US-CAL-CISO,281.47,368.9,35.12,19.14,caiso.com,false,
2024-01-02 09:00:00,USA,CAISO,US-CAL-CISO,281.97,371.19,34.18,18.04,caiso.com,false,
2024-01-02 10:00:00,USA,CAISO,US-CAL-CISO,280.59,369.6,34.47,18.17,caiso.com,false,
2024-01-02 11:00:00,USA,CAISO,US-CAL-CISO,279.75,368.76,34.54,18.54,caiso.com,false,
2024-01-02 12:00:00,USA,CAISO,US-CAL-CISO,279.73,367.86,34.78,19.3,caiso.com,false,
2024-01-02 13:00:00,USA,CAISO,US-CAL-CISO,281.25,366.75,35.26,20.37,caiso.com,false,
2024-01-02 14:00:00,USA,CAISO,US-CAL-CISO,272.17,343.95,40.82,27.77,caiso.com,false,
2024-01-02 15:00:00,USA,CAISO,US-CAL-CISO,250.83,321.79,44.89,32.18,caiso.com,false,
2024-01-02 16:00:00,USA,CAISO,US-CAL-CISO,188.28,256.63,56.26,44.39,caiso.com,false,
2024-01-02 17:00:00,USA,CAISO,US-CAL-CISO,160.11,221.74,63.2,51.68,caiso.com,false,
2024-01-02 18:00:00,USA,CAISO,US-CAL-CISO,163.11,224.56,63.01,50.85,caiso.com,false,
2024-01-02 19:00:00,USA,CAISO,US-CAL-CISO,157.12,217.57,64.32,51.97,caiso.com,false,
2024-01-02 20:00:00,USA,CAISO,US-CAL-CISO,156.92,217.61,64.25,51.77,caiso.com,false,
2024-01-02 21:00:00,USA,CAISO,US-CAL-CISO,163.17,224.94,63.02,50.24,caiso.com,false,
2024-01-02 22:00:00,USA,CAISO,US-CAL-CISO,170.45,233.6,61.37,48.74,caiso.com,false,
2024-01-02 23:00:00,USA,CAISO,US-CAL-CISO,195.33,261.42,55.87,43.5,caiso.com,false,
2024-01-03 00:00:00,USA,CAISO,US-CAL-CISO,252.38,319.97,45.45,33.11,caiso.com,false,
2024-01-03 01:00:00,USA,CAISO,US-CAL-CISO,264.84,320.92,46.89,35.71,caiso.com,false,
2024-01-03 02:00:00,USA,CAISO,US-CAL-CISO,264.49,323.44,46.08,34.76,caiso.com,false,
2024-01-03 03:00:00,USA,CAISO,US-CAL-CISO,262.54,325.0,45.33,33.77,caiso.com,false,
2024-01-03 04:00:00,USA,CAISO,US-CAL-CISO,259.86,329.04,43.67,31.49,caiso.com,false,
