OperationIndex,OperationDuration
0,3
1,21
2,9
3,6
4,1
5,1
6,1
7,14
8,6
9,9
10,1
11,25
12,13
13,2
14,1
15,1
16,3
17,5
18,4
19,2
20,7
21,1
22,2
23,3
24,4
25,11
26,2
27,5
28,6
29,1
30,7
31,1
32,1
33,21
34,24
35,12
36,3
37,1
38,8
39,4
40,1
41,5
42,1
43,17
44,2
45,8
46,3
47,5
48,6
49,1
50,24
51,10
52,20
53,16
54,6
55,18
56,1
57,2
58,1
59,3
60,3
61,2
62,12
63,3
64,2
65,5
66,1
67,11
68,1
69,30
70,10
71,2
72,1
73,12
74,9
75,9
76,10
77,1
78,3
79,1
80,14
81,7
82,3
83,1
84,3
85,3
86,9
87,7
88,15
89,4
90,1
91,9
92,10
93,6
94,10
95,5
96,5
97,4
98,1
99,1
100,1
101,7
102,3
103,5
104,17
105,2
106,4
107,10
108,2
109,1
110,2
111,1
112,19
113,12
114,7
115,14
116,11
117,1
118,16
119,5
120,12
121,16
122,3
123,1
124,2
125,4
126,12
127,14
128,1
129,5
130,4
131,2
132,1
133,3
134,20
135,3
136,5
137,8
138,3
139,25
140,23
141,2
142,5
143,3
144,2
145,1
146,7
147,5
148,1
149,2
150,17
151,2
152,1
153,5
154,30
155,2
156,8
157,10
158,2
159,9
160,3
161,7
162,7
163,5
164,1
165,13
166,3
167,1
168,1
169,6
170,8
171,1
172,5
173,2
174,7
175,1
176,8
177,3
178,19
179,1
180,3
181,1
182,18
183,15
184,2
185,8
186,12
187,6
188,5
189,2
190,1
191,16
192,16
193,7
194,3
195,3
196,9
197,16
198,15
199,11
200,7
201,1
202,1
203,16
204,7
205,1
206,1
207,8
208,1
209,1
210,6
211,8
212,7
213,2
214,9
215,2
216,3
217,10
218,7
219,13
220,8
221,6
222,1
223,3
224,2
225,2
226,25
227,3
228,16
229,7
230,11
231,5
232,6
233,5
234,2
235,9
236,2
237,1
238,7
239,1
240,20
241,22
242,17
243,3
244,1
245,18
246,4
247,24
248,23
249,13
250,2
251,3
252,13
253,3
254,1
255,6
256,19
257,8
258,6
259,1
260,7
261,32
262,1
263,5
264,15
265,9
266,8
267,8
268,3
269,2
270,12
271,12
272,14
273,17
274,5
275,5
276,11
277,7
278,8
279,11
280,15
281,3
282,3
283,1
284,6
285,1
286,4
287,5
288,2
289,6
290,1
291,1
292,12
293,3
294,1
295,5
296,10
297,2
298,7
299,1
300,1
301,5
302,5
303,7
304,9
305,26
306,5
307,3
308,11
309,2
310,4
311,1
312,1
313,23
314,13
315,8
316,4
317,1
318,1
319,2
320,6
321,9
322,8
323,2
324,22
325,9
326,6
327,7
328,4
329,2
330,3
331,10
332,1
333,1
334,1
335,1
336,14
337,9
338,4
339,1
340,5
341,4
342,1
343,4
344,4
345,7
346,7
347,1
348,3
349,7
350,5
351,14
352,8
353,1
354,1
355,7
356,1
357,6
358,20
359,6
360,3
361,7
362,4
363,6
364,20
365,3
366,23
367,17
368,2
369,1
370,1
371,1
372,1
373,8
374,1
375,3
376,13
377,1
378,12
379,2
380,1
381,8
382,7
383,15
384,9
385,11
386,2
387,1
388,10
389,12
390,33
391,4
392,3
393,10
394,3
395,19
396,14
397,4
398,10
399,10
400,1
401,16
402,5
403,12
404,3
405,16
406,3
407,1
408,17
409,1
410,3
411,21
412,21
413,6
414,7
415,4
416,2
417,3
418,8
419,10
420,11
421,11
422,1
423,5
424,1
425,6
426,4
427,15
428,3
429,1
430,1
431,10
432,7
433,1
434,1
435,8
436,1
437,12
438,9
439,1
440,1
441,30
442,3
443,3
444,12
445,21
446,30
447,10
448,3
449,1
450,11
451,6
452,4
453,17
454,1
455,5
456,1
457,4
458,1
459,1
460,1
461,7
462,10
463,6
464,23
465,3
466,2
467,14
468,2
469,23
470,1
471,25
472,1
473,16
474,5
475,35
476,1
477,6
478,24
479,5
480,7
481,8
482,4
483,7
484,6
485,16
486,1
487,2
488,21
489,15
490,4
491,7
492,2
493,1
494,4
495,3
496,6
497,1
498,26
499,30
500,8
501,5
502,3
503,12
504,8
505,1
506,17
507,12
508,21
509,9
510,7
511,4
512,19
513,14
514,1
515,1
516,3
517,12
518,31
519,1
520,6
521,3
522,25
523,13
524,13
525,4
526,4
527,2
528,1
529,14
530,12
531,57
532,40
533,6
534,10
535,20
536,13
537,2
538,4
539,1
540,22
541,7
542,2
543,8
544,7
545,3
546,1
547,8
548,5
549,10
550,5
551,13
552,6
553,6
554,15
555,4
556,1
557,1
558,10
559,7
560,9
561,2
562,1
563,1
564,3
565,6
566,3
567,4
568,16
569,3
570,5
571,11
572,4
573,7
574,14
575,21
576,1
577,18
578,5
579,2
580,4
581,27
582,5
583,3
584,7
585,2
586,1
587,1
588,1
589,1
590,1
591,7
592,1
593,3
594,16
595,4
596,8
597,1
598,1
599,1
600,1
601,2
602,1
603,1
604,1
605,4
606,2
607,3
608,5
609,8
610,1
611,11
612,7
613,1
614,14
615,18
616,1
617,2
618,11
619,10
620,1
621,2
622,3
623,5
624,7
625,3
626,4
627,10
628,1
629,2
630,9
631,16
632,5
633,5
634,1
635,4
636,5
637,2
638,2
639,3
640,1
641,3
642,2
643,3
644,1
645,15
646,6
647,8
648,11
649,5
650,1
651,5
652,6
653,10
654,4
655,1
656,2
657,3
658,7
659,6
660,3
661,30
662,7
663,2
664,1
665,1
666,2
667,1
668,1
669,2
670,1
671,16
672,1
673,5
674,4
675,28
676,1
677,4
678,24
679,14
680,12
681,2
682,1
683,8
684,19
685,6
686,6
687,2
688,10
689,1
690,3
691,4
692,5
693,2
694,1
695,7
696,2
697,6
698,1
699,5
700,5
701,1
702,3
703,1
704,1
705,32
706,3
707,12
708,2
709,8
710,10
711,6
712,4
713,4
714,3
715,19
716,12
717,23
718,1
719,9
720,20
721,1
722,1
723,9
724,6
725,13
726,1
727,11
728,2
729,1
730,1
731,12
732,8
733,5
734,3
735,15
736,3
737,12
738,4
739,3
740,4
741,3
742,10
743,5
744,2
745,16
746,3
747,5
748,17
749,7
750,1
751,20
752,7
753,3
754,1
755,11
756,7
757,5
758,16
759,11
760,1
761,3
762,2
763,10
764,1
765,6
766,10
767,15
768,3
769,12
770,1
771,13
772,1
773,4
774,11
775,1
776,2
777,9
778,9
779,7
780,8
781,5
782,2
783,3
784,1
785,17
786,6
787,4
788,4
789,21
790,1
791,6
792,5
793,7
794,1
795,14
796,19
797,6
798,8
799,18
800,9
801,1
802,6
803,7
804,4
805,9
806,19
807,18
808,4
809,1
810,29
811,13
812,1
813,18
814,14
815,5
816,6
817,4
818,1
819,3
820,11
821,1
822,3
823,4
824,5
825,18
826,3
827,3
828,9
829,4
830,2
831,4
832,1
833,1
834,5
835,4
836,17
837,3
838,6
839,7
840,1
841,8
842,1
843,23
844,1
845,4
846,1
847,40
848,5
849,6
850,1
851,10
852,2
853,16
854,2
855,1
856,1
857,4
858,6
859,1
860,10
861,4
862,5
863,4
864,4
865,6
866,1
867,1
868,14
869,20
870,3
871,2
872,7
873,4
874,1
875,1
876,9
877,8
878,1
879,2
880,2
881,8
882,1
883,1
884,11
885,1
886,7
887,2
888,1
889,2
890,9
891,14
892,12
893,4
894,8
895,2
896,2
897,16
898,1
899,1
900,2
901,1
902,1
903,6
904,4
905,16
906,12
907,3
908,2
909,3
910,6
911,2
912,7
913,4
914,6
915,4
916,2
917,21
918,10
919,1
920,14
921,5
922,16
923,11
924,4
925,1
926,2
927,5
928,7
929,2
930,1
931,13
932,29
933,5
934,1
935,2
936,1
937,17
938,1
939,6
940,2
941,6
942,7
943,12
944,2
945,1
946,1
947,16
948,14
949,6
950,6
951,8
952,1
953,17
954,4
955,3
956,5
957,1
958,1
959,9
960,1
961,6
962,2
963,3
964,2
965,3
966,9
967,2
968,6
969,5
970,8
971,19
972,9
973,2
974,1
975,2
976,6
977,1
978,5
979,6
980,3
