Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
0,TEX,True,105,105,1.0,105,98849.25,236.25,12.56,7.53
1,TEX,True,102,102,1.0,102,118405.5,289.25,7.57,2.77
2,TEX,True,104,104,1.0,104,121840.5,298.5,6.46,3.48
3,TEX,True,95,95,1.0,95,101009.0,208.25,11.33,10.14
4,TEX,True,70,70,1.0,70,111186.0,232.5,2.45,1.48
5,TEX,True,108,108,1.0,108,109750.0,226.75,11.76,8.84
6,TEX,True,117,117,1.0,117,143129.0,314.25,7.85,3.83
7,TEX,True,117,117,1.0,117,135487.0,300.0,7.02,3.61
8,TEX,True,108,108,1.0,108,116974.75,257.0,6.69,2.19
9,TEX,True,100,100,1.0,100,96844.5,275.0,10.93,2.14
10,TEX,True,111,111,1.0,111,113318.75,314.5,12.46,2.25
11,TEX,True,106,106,1.0,106,143339.5,378.0,5.87,1.95
12,TEX,True,117,117,1.0,117,98399.0,302.25,7.36,1.14
13,TEX,True,112,112,1.0,112,125305.0,366.25,3.23,0.88
14,TEX,True,101,101,1.0,101,100830.5,313.0,8.12,3.99
15,TEX,True,106,106,1.0,106,128840.25,296.0,7.48,3.97
16,TEX,True,102,102,1.0,102,111306.25,264.0,12.6,5.04
17,TEX,True,123,123,1.0,123,155477.75,345.0,9.82,4.83
18,TEX,True,105,105,1.0,105,76360.75,295.0,16.87,1.5
19,TEX,True,100,100,1.0,100,56037.5,241.0,28.33,-0.94
20,TEX,True,102,102,1.0,102,103172.0,344.25,19.82,3.1
21,TEX,True,99,99,1.0,99,63581.75,252.75,5.62,1.94
22,TEX,True,111,111,1.0,111,68408.75,249.5,4.33,3.67
23,TEX,True,86,86,1.0,86,77131.0,315.75,5.62,2.17
24,TEX,True,105,105,1.0,105,75321.0,268.75,13.85,6.6
25,TEX,True,98,98,1.0,98,75294.0,269.5,5.15,-0.84
26,TEX,True,105,105,1.0,105,68877.75,239.25,14.02,4.87
27,TEX,True,100,100,1.0,100,55333.5,203.75,17.7,1.69
28,TEX,True,117,117,1.0,117,115307.5,352.5,4.24,1.26
29,TEX,True,83,83,1.0,83,69133.0,254.25,6.91,4.42
30,TEX,True,94,94,1.0,94,63516.75,238.25,13.87,3.05
31,TEX,True,89,89,1.0,89,89084.25,311.5,8.98,1.27
32,TEX,True,110,110,1.0,110,74672.0,283.75,5.68,1.99
33,TEX,True,106,106,1.0,106,84573.0,301.75,12.41,4.05
34,TEX,True,103,103,1.0,103,57234.25,206.5,11.59,6.67
35,TEX,True,118,118,1.0,118,87989.75,292.0,14.46,2.5
36,TEX,True,98,98,1.0,98,69234.0,214.5,18.43,4.35
37,TEX,True,99,99,1.0,99,75389.75,235.25,10.2,5.62
38,TEX,True,98,98,1.0,98,86531.75,263.0,12.96,4.8
39,TEX,True,93,93,1.0,93,123903.0,292.0,9.11,3.07
40,TEX,True,118,118,1.0,118,164501.75,358.75,4.61,2.51
41,TEX,True,102,102,1.0,102,120069.0,272.5,8.28,5.79
42,TEX,True,128,128,1.0,128,159900.0,356.0,7.16,1.18
43,TEX,True,94,94,1.0,94,114449.75,234.25,3.4,2.8
44,TEX,True,96,96,1.0,96,155950.0,320.25,6.42,4.55
45,TEX,True,111,111,1.0,111,116969.25,250.75,5.68,3.74
46,TEX,True,100,100,1.0,100,169952.0,377.25,2.74,1.89
47,TEX,True,109,109,1.0,109,118052.75,256.0,10.71,8.24
48,TEX,True,107,107,1.0,107,78530.5,229.5,10.94,1.29
49,TEX,True,114,114,1.0,114,94990.0,273.5,14.59,5.61
50,TEX,True,93,93,1.0,93,108919.75,299.5,8.6,4.54
51,TEX,True,98,98,1.0,98,100280.0,284.5,8.5,2.82
52,TEX,True,104,104,1.0,104,132297.0,353.5,4.54,2.82
53,TEX,True,119,119,1.0,119,130288.5,350.75,6.29,4.49
54,TEX,True,99,99,1.0,99,70430.0,240.0,12.23,4.57
55,TEX,True,105,105,1.0,105,82544.0,260.75,11.2,3.43
56,TEX,True,121,121,1.0,121,74713.5,217.0,10.33,2.36
57,TEX,True,99,99,1.0,99,81960.0,192.25,8.13,5.53
58,TEX,True,113,113,1.0,113,148197.25,338.0,6.18,3.08
59,TEX,True,95,95,1.0,95,131337.0,302.25,5.04,3.51
60,TEX,True,102,102,1.0,102,111521.5,276.0,6.34,4.83
61,TEX,True,101,101,1.0,101,131081.0,320.0,4.63,2.74
62,TEX,True,91,91,1.0,91,138539.5,337.0,4.24,2.67
63,TEX,True,122,122,1.0,122,189102.5,375.25,2.03,1.12
64,TEX,True,106,106,1.0,106,158469.75,309.25,3.81,3.28
65,TEX,True,98,98,1.0,98,105752.25,207.75,6.8,6.94
66,TEX,True,115,115,1.0,115,160365.75,305.0,2.07,2.01
67,TEX,True,117,117,1.0,117,170334.0,327.75,4.06,2.74
68,TEX,True,102,102,1.0,102,97781.0,188.0,11.57,10.16
69,TEX,True,109,109,1.0,109,141584.25,275.0,3.24,3.17
70,TEX,True,98,98,1.0,98,105691.5,208.5,8.45,7.33
71,TEX,True,99,99,1.0,99,140590.75,276.5,4.77,3.74
72,TEX,True,119,119,1.0,119,158850.5,346.5,2.9,1.63
73,TEX,True,101,101,1.0,101,141653.0,307.75,6.21,4.8
74,TEX,True,106,106,1.0,106,135176.25,292.25,8.27,5.19
75,TEX,True,111,111,1.0,111,182040.25,403.5,2.7,2.6
76,TEX,True,93,93,1.0,93,164859.75,364.25,2.64,2.15
77,TEX,True,113,113,1.0,113,127010.5,286.75,7.01,3.37
78,TEX,True,98,98,1.0,98,69533.0,241.0,17.21,3.21
79,TEX,True,94,94,1.0,94,63377.5,223.5,10.89,4.39
80,TEX,True,104,104,1.0,104,90831.75,289.25,10.15,4.54
81,TEX,True,112,112,1.0,112,125519.75,303.5,8.55,1.06
82,TEX,True,113,113,1.0,113,111562.0,271.25,15.12,1.9
83,TEX,True,98,98,1.0,98,108471.75,269.25,7.33,4.18
84,TEX,True,102,102,1.0,102,123936.5,313.75,3.46,1.8
85,TEX,True,112,112,1.0,112,90953.0,234.5,7.68,1.68
86,TEX,True,107,107,1.0,107,115203.25,295.5,5.91,2.31
87,TEX,True,96,96,1.0,96,93398.5,223.75,5.95,3.24
88,TEX,True,109,109,1.0,109,119148.75,279.0,7.92,3.29
