Instance,Location,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
0,TEX,True,115,115,1.0,115,25022.5,59.25,4.39,0.0
1,TEX,True,134,134,1.0,134,29107.0,72.0,6.24,0.0
2,TEX,True,116,116,1.0,116,30314.0,71.75,3.13,0.0
3,TEX,True,100,100,1.0,100,25379.0,53.0,4.77,0.0
4,TEX,True,74,74,1.0,74,27074.5,56.75,1.41,0.0
5,TEX,True,120,120,1.0,120,27100.5,56.0,2.44,0.0
6,TEX,True,130,130,1.0,130,34313.0,77.75,6.41,0.0
7,TEX,True,151,151,1.0,151,32394.5,74.5,8.42,0.0
8,TEX,True,124,124,1.0,124,27433.25,63.25,10.12,0.0
9,TEX,True,110,110,1.0,110,23425.5,67.0,8.23,0.0
10,TEX,True,132,132,1.0,132,25993.25,77.25,18.58,0.0
11,TEX,True,123,123,1.0,123,33644.75,92.25,5.69,0.0
12,TEX,True,139,139,1.0,139,24864.5,74.75,10.83,0.0
13,TEX,True,127,127,1.0,127,31321.25,89.5,7.43,0.0
14,TEX,True,112,112,1.0,112,25604.75,77.0,6.4,0.0
15,TEX,True,136,136,1.0,136,32017.5,74.25,10.53,0.0
16,TEX,True,104,104,1.0,104,26633.5,63.5,6.39,0.0
17,TEX,True,152,152,1.0,152,37545.25,86.5,7.67,0.0
18,TEX,True,139,139,1.0,139,14864.75,71.5,32.46,0.0
19,TEX,True,132,132,1.0,132,11825.25,58.25,36.49,0.0
20,TEX,True,115,115,1.0,115,21948.5,84.25,24.21,0.0
21,TEX,True,111,111,1.0,111,15795.25,61.75,3.04,0.0
22,TEX,True,113,113,1.0,113,16883.75,61.75,1.16,0.0
23,TEX,True,95,95,1.0,95,18738.5,76.75,3.53,0.0
24,TEX,True,117,117,1.0,117,18219.0,66.25,10.13,0.0
25,TEX,True,109,109,1.0,109,18141.5,65.0,15.75,0.0
26,TEX,True,116,116,1.0,116,17940.75,58.5,4.82,0.0
27,TEX,True,110,110,1.0,110,13846.0,50.25,14.39,0.0
28,TEX,True,144,144,1.0,144,25987.0,87.25,14.87,0.0
29,TEX,True,103,103,1.0,103,16544.75,61.5,11.48,0.0
30,TEX,True,104,104,1.0,104,15325.5,59.25,18.24,0.0
31,TEX,True,104,104,1.0,104,20756.5,76.25,11.93,0.0
32,TEX,True,136,136,1.0,136,17510.5,69.25,7.5,0.0
33,TEX,True,117,117,1.0,117,20595.0,73.75,8.44,0.0
34,TEX,True,107,107,1.0,107,14751.0,52.0,4.62,0.0
35,TEX,True,150,150,1.0,150,21144.25,71.5,13.98,0.0
36,TEX,True,101,101,1.0,101,16855.0,53.0,14.78,0.0
37,TEX,True,106,106,1.0,106,18142.75,57.75,6.28,0.0
38,TEX,True,109,109,1.0,109,20702.75,65.5,11.81,0.0
39,TEX,True,99,99,1.0,99,30768.75,71.5,2.51,0.0
40,TEX,True,146,146,1.0,146,41019.75,88.25,1.07,0.0
41,TEX,True,112,112,1.0,112,29830.25,67.75,1.14,0.0
42,TEX,True,160,160,1.0,160,39081.75,88.75,7.72,0.0
43,TEX,True,103,103,1.0,103,26915.75,58.0,3.79,0.0
44,TEX,True,103,103,1.0,103,37668.0,79.5,4.18,0.0
45,TEX,True,121,121,1.0,121,28385.75,62.25,3.59,0.0
46,TEX,True,115,115,1.0,115,42051.0,92.5,2.51,0.0
47,TEX,True,127,127,1.0,127,28687.75,64.25,5.4,0.0
48,TEX,True,114,114,1.0,114,18980.0,56.75,16.64,0.0
49,TEX,True,132,132,1.0,132,22359.25,67.0,9.97,0.0
50,TEX,True,125,125,1.0,125,24856.25,73.25,12.35,0.0
51,TEX,True,108,108,1.0,108,24672.75,69.25,6.34,0.0
52,TEX,True,111,111,1.0,111,32434.5,86.0,2.77,0.0
53,TEX,True,161,161,1.0,161,27624.25,87.0,11.34,0.0
54,TEX,True,109,109,1.0,109,17606.5,58.75,11.69,0.0
55,TEX,True,109,109,1.0,109,20403.5,63.0,9.0,0.0
56,TEX,True,149,149,1.0,149,19327.0,55.0,11.95,0.0
57,TEX,True,113,113,1.0,113,20072.5,48.5,7.97,0.0
58,TEX,True,116,116,1.0,116,36368.75,83.25,1.44,0.0
59,TEX,True,106,106,1.0,106,32040.75,73.75,1.75,0.0
60,TEX,True,108,108,1.0,108,27199.75,67.25,2.04,0.0
61,TEX,True,111,111,1.0,111,32595.5,78.75,3.12,0.0
62,TEX,True,95,95,1.0,95,33816.75,82.5,2.63,0.0
63,TEX,True,154,154,1.0,154,46009.0,92.25,1.96,0.0
64,TEX,True,123,123,1.0,123,38044.5,77.5,2.57,0.0
65,TEX,True,117,117,1.0,117,25255.75,51.75,3.73,0.0
66,TEX,True,131,131,1.0,131,38326.0,73.75,1.06,0.0
67,TEX,True,153,153,1.0,153,41602.0,81.25,1.7,0.0
68,TEX,True,110,110,1.0,110,24701.75,48.0,2.06,0.0
69,TEX,True,153,153,1.0,153,34055.5,68.75,3.84,0.0
70,TEX,True,104,104,1.0,104,26504.5,52.75,1.95,0.0
71,TEX,True,108,108,1.0,108,34823.0,68.75,2.08,0.0
72,TEX,True,142,142,1.0,142,36443.5,84.75,5.45,0.0
73,TEX,True,115,115,1.0,115,34089.75,75.75,4.7,0.0
74,TEX,True,124,124,1.0,124,31388.25,71.75,6.8,0.0
75,TEX,True,126,126,1.0,126,43281.25,99.25,2.9,0.0
76,TEX,True,100,100,1.0,100,40591.5,89.5,0.83,0.0
77,TEX,True,128,128,1.0,128,30129.25,71.5,6.9,0.0
78,TEX,True,110,110,1.0,110,17495.75,59.25,19.58,0.0
79,TEX,True,99,99,1.0,99,15824.75,55.5,13.07,0.0
80,TEX,True,116,116,1.0,116,23868.25,72.0,11.57,0.0
81,TEX,True,132,132,1.0,132,28221.75,74.25,20.47,0.0
82,TEX,True,123,123,1.0,123,25819.5,64.75,17.93,0.0
83,TEX,True,124,124,1.0,124,25450.25,66.25,11.88,0.0
84,TEX,True,126,126,1.0,126,30383.0,77.25,4.41,0.0
85,TEX,True,128,128,1.0,128,21614.0,57.0,8.55,0.0
86,TEX,True,119,119,1.0,119,28364.5,72.75,7.93,0.0
87,TEX,True,112,112,1.0,112,23458.25,55.5,7.97,0.0
88,TEX,True,127,127,1.0,127,28852.25,68.25,8.2,0.0
89,TEX,True,134,134,1.0,134,28435.25,67.75,8.83,0.0
90,TEX,True,111,111,1.0,111,21480.75,59.75,12.8,0.0
91,TEX,True,140,140,1.0,140,18678.0,63.0,18.79,0.0
92,TEX,True,150,150,1.0,150,17991.75,62.75,23.93,0.0
93,TEX,True,129,129,1.0,129,17762.5,77.0,11.68,0.0
94,TEX,True,115,115,1.0,115,17860.75,71.5,6.63,0.0
95,TEX,True,113,113,1.0,113,14529.5,61.0,14.51,0.0
96,TEX,True,109,109,1.0,109,17293.25,74.0,2.3,0.0
97,TEX,True,101,101,1.0,101,15064.5,69.25,5.86,0.0
98,TEX,True,85,85,1.0,85,14175.5,67.75,4.6,0.0
99,TEX,True,108,108,1.0,108,12350.25,55.75,18.72,0.0
100,TEX,True,122,122,1.0,122,19888.5,81.75,5.12,0.0
101,TEX,True,150,150,1.0,150,17810.0,81.75,16.94,0.0
102,TEX,True,99,99,1.0,99,11451.5,62.25,10.01,0.0
103,TEX,True,101,101,1.0,101,10868.5,59.25,14.14,0.0
104,TEX,True,147,147,1.0,147,17782.25,88.0,7.36,0.0
105,TEX,True,110,110,1.0,110,17016.75,56.0,9.76,0.0
106,TEX,True,143,143,1.0,143,27435.0,86.25,5.9,0.0
107,TEX,True,108,108,1.0,108,21650.75,70.75,8.42,0.0
108,TEX,True,112,112,1.0,112,17185.25,55.5,16.44,0.0
109,TEX,True,111,111,1.0,111,24959.25,74.0,16.83,0.0
110,TEX,True,131,131,1.0,131,17364.0,64.25,25.55,0.0
111,TEX,True,122,122,1.0,122,15200.5,68.0,14.43,0.0
112,TEX,True,106,106,1.0,106,15114.0,71.0,7.81,0.0
113,TEX,True,94,94,1.0,94,14427.25,71.5,10.24,0.0
114,TEX,True,98,98,1.0,98,19465.75,64.0,4.45,0.0
115,TEX,True,118,118,1.0,118,15690.5,57.75,11.3,0.0
116,TEX,True,105,105,1.0,105,16299.25,56.5,9.06,0.0
117,TEX,True,186,186,1.0,186,29828.0,93.5,8.03,0.0
118,TEX,True,128,128,1.0,128,18575.25,53.5,4.22,0.0
119,TEX,True,135,135,1.0,135,22294.25,70.0,6.5,0.0
120,TEX,True,107,107,1.0,107,22080.5,64.5,8.93,0.0
121,TEX,True,106,106,1.0,106,19311.75,57.0,7.84,0.0
