Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
0,True,105,105,1.0,105,23431.5,238.25,20.86,0.94
0,True,126,105,1.2,126,18024.25,244.5,39.13,-1.66
0,True,158,105,1.5,151,20384.25,251.0,31.16,-4.37
0,True,210,105,2.0,210,27754.0,248.5,6.26,-3.33
1,True,102,102,1.0,102,31742.25,288.75,10.9,1.87
1,True,123,102,1.2,123,23548.75,289.25,33.9,1.7
1,True,153,102,1.5,152,23319.5,298.25,34.54,-1.36
1,True,204,102,2.0,204,34752.5,302.5,2.45,-2.8
2,True,104,104,1.0,104,32601.0,298.0,10.28,0.91
2,True,125,104,1.2,125,23580.75,291.0,35.11,3.24
2,True,156,104,1.5,151,23740.75,295.25,34.67,1.83
2,True,208,104,2.0,208,33063.0,300.25,9.01,0.17
3,True,95,95,1.0,95,37418.0,213.5,15.89,3.5
3,True,114,95,1.2,114,31630.5,218.25,28.9,1.36
3,True,143,95,1.5,143,29573.75,220.25,33.52,0.45
3,True,190,95,2.0,190,15969.0,224.0,64.1,-1.24
4,True,70,70,1.0,70,36618.5,240.25,4.17,1.23
4,True,84,70,1.2,84,33721.75,238.25,11.75,2.06
4,True,105,70,1.5,105,32733.0,237.0,14.34,2.57
4,True,140,70,2.0,140,33314.0,231.25,12.81,4.93
5,True,108,108,1.0,108,34350.75,234.25,20.7,0.85
5,True,130,108,1.2,130,30231.75,235.0,30.21,0.53
5,True,162,108,1.5,162,24117.25,222.75,44.33,5.71
5,True,216,108,2.0,212,16871.5,232.75,61.05,1.48
6,True,117,117,1.0,117,15166.5,322.75,36.32,1.6
6,True,141,117,1.2,141,17226.5,316.0,27.68,3.66
6,True,176,117,1.5,175,18023.0,319.75,24.33,2.52
6,True,234,117,2.0,200,22580.0,321.75,5.2,1.91
7,True,117,117,1.0,117,14585.25,309.0,44.36,-0.73
7,True,141,117,1.2,141,15969.25,307.0,39.08,-0.08
7,True,176,117,1.5,176,19912.0,305.5,24.04,0.41
