Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
0,True,115,115,1.0,115,4981.75,59.25,26.25,0.0
0,True,138,115,1.2,136,3885.5,59.25,42.48,0.0
0,True,173,115,1.5,148,4642.0,59.25,31.28,0.0
0,True,230,115,2.0,130,6579.5,59.25,2.6,0.0
1,True,134,134,1.0,134,5415.5,72.0,31.96,0.0
1,True,161,134,1.2,148,6087.5,72.0,23.51,0.0
1,True,201,134,1.5,172,6561.5,72.0,17.56,0.0
1,True,268,134,2.0,259,8029.5,72.0,-0.89,0.0
2,True,116,116,1.0,116,6800.75,71.75,19.6,0.0
2,True,140,116,1.2,136,5329.25,71.75,37.0,0.0
2,True,174,116,1.5,148,5256.75,71.75,37.85,0.0
2,True,232,116,2.0,232,7944.75,71.75,6.07,0.0
3,True,100,100,1.0,100,9307.25,53.0,6.76,0.0
3,True,120,100,1.2,120,6810.75,53.0,31.77,0.0
3,True,150,100,1.5,150,6200.5,53.0,37.88,0.0
3,True,200,100,2.0,200,5704.0,53.0,42.86,0.0
4,True,74,74,1.0,74,8760.5,56.75,3.65,0.0
4,True,89,74,1.2,78,8501.75,56.75,6.49,0.0
4,True,111,74,1.5,111,8183.75,56.75,9.99,0.0
4,True,148,74,2.0,148,6986.75,56.75,23.16,0.0
5,True,120,120,1.0,120,7459.75,56.0,25.72,0.0
5,True,144,120,1.2,144,7034.5,56.0,29.95,0.0
5,True,180,120,1.5,180,3185.0,56.0,68.29,0.0
5,True,240,120,2.0,240,2840.5,56.0,71.72,0.0
6,True,130,130,1.0,130,3854.0,77.75,39.09,0.0
6,True,156,130,1.2,151,3957.75,77.75,37.45,0.0
6,True,195,130,1.5,195,4209.75,77.75,33.46,0.0
6,True,260,130,2.0,149,6255.75,77.75,1.13,0.0
7,True,151,151,1.0,151,3806.75,74.5,41.11,0.0
7,True,182,151,1.2,182,4874.5,74.5,24.59,0.0
7,True,227,151,1.5,216,3827.75,74.5,40.78,0.0
7,True,302,151,2.0,152,6577.0,74.5,-1.75,0.0
8,True,124,124,1.0,124,2797.5,63.25,47.11,0.0
8,True,149,124,1.2,124,2813.25,63.25,46.81,0.0
8,True,186,124,1.5,186,2972.0,63.25,43.81,0.0
8,True,248,124,2.0,248,3484.5,63.25,34.12,0.0
9,True,110,110,1.0,110,4732.25,67.0,17.71,0.0
9,True,132,110,1.2,125,4423.25,67.0,23.08,0.0
9,True,165,110,1.5,148,4485.25,67.0,22.0,0.0
9,True,220,110,2.0,216,5151.25,67.0,10.42,0.0
10,True,132,132,1.0,132,5205.25,77.25,23.95,0.0
10,True,159,132,1.2,149,5244.5,77.25,23.38,0.0
10,True,198,132,1.5,151,5328.75,77.25,22.15,0.0
10,True,264,132,2.0,190,7599.0,77.25,-11.02,0.0
11,True,123,123,1.0,123,6656.75,92.25,13.67,0.0
11,True,148,123,1.2,148,6662.0,92.25,13.6,0.0
11,True,185,123,1.5,148,6787.75,92.25,11.97,0.0
11,True,246,123,2.0,169,8735.0,92.25,-13.28,0.0
12,True,139,139,1.0,139,10882.75,74.75,13.47,0.0
12,True,167,139,1.2,164,11745.0,74.75,6.61,0.0
12,True,209,139,1.5,209,10981.25,74.75,12.68,0.0
12,True,278,139,2.0,278,13469.25,74.75,-7.1,0.0
13,True,127,127,1.0,127,14491.25,89.5,9.31,0.0
13,True,153,127,1.2,144,13463.25,89.5,15.74,0.0
13,True,191,127,1.5,191,13462.25,89.5,15.75,0.0
13,True,254,127,2.0,244,11954.0,89.5,25.19,0.0
14,True,112,112,1.0,112,12459.0,77.0,3.65,0.0
14,True,135,112,1.2,134,10798.75,77.0,16.49,0.0
14,True,168,112,1.5,144,11099.75,77.0,14.16,0.0
14,True,224,112,2.0,224,10107.5,77.0,21.83,0.0
15,True,136,136,1.0,136,8088.25,74.25,41.91,0.0
15,True,164,136,1.2,148,7575.0,74.25,45.6,0.0
15,True,204,136,1.5,204,7263.75,74.25,47.83,0.0
15,True,272,136,2.0,272,14044.0,74.25,-0.86,0.0
16,True,104,104,1.0,104,12248.5,63.5,13.99,0.0
16,True,125,104,1.2,125,7175.0,63.5,49.62,0.0
16,True,156,104,1.5,140,5847.25,63.5,58.94,0.0
16,True,208,104,2.0,207,9211.25,63.5,35.32,0.0
17,True,152,152,1.0,152,9511.75,86.5,38.56,0.0
17,True,183,152,1.2,152,9787.5,86.5,36.78,0.0
17,True,228,152,1.5,228,5907.75,86.5,61.84,0.0
17,True,304,152,2.0,304,16008.75,86.5,-3.41,0.0
18,True,139,139,1.0,139,5194.25,71.5,58.49,0.0
18,True,167,139,1.2,155,7292.0,71.5,41.73,0.0
18,True,209,139,1.5,209,6324.0,71.5,49.47,0.0
18,True,278,139,2.0,277,14553.5,71.5,-16.3,0.0
19,True,132,132,1.0,132,4245.5,58.25,55.11,0.0
19,True,159,132,1.2,151,4400.5,58.25,53.47,0.0
19,True,198,132,1.5,198,4181.0,58.25,55.79,0.0
