Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
0,True,104,104,1.0,104,33863.75,152.75,31.12,0.33
0,True,156,104,1.5,155,35902.5,147.5,26.97,3.75
0,True,208,104,2.0,208,37599.5,137.5,23.52,10.28
1,True,119,119,1.0,119,60690.75,237.75,18.49,0.73
1,True,179,119,1.5,179,56702.0,232.0,23.85,3.13
1,True,238,119,2.0,238,61974.25,244.0,16.77,-1.88
2,True,113,113,1.0,113,61587.5,246.5,7.37,1.69
2,True,170,113,1.5,170,62835.75,240.5,5.5,4.09
2,True,226,113,2.0,209,60544.0,248.5,8.94,0.9
3,True,95,95,1.0,95,52535.0,201.75,22.57,8.61
3,True,143,95,1.5,115,52307.75,202.0,22.9,8.49
3,True,190,95,2.0,190,49413.5,186.0,27.17,15.74
4,True,58,58,1.0,58,75186.25,207.75,3.38,3.26
4,True,87,58,1.5,87,55646.0,201.75,28.49,6.05
4,True,116,58,2.0,113,52772.5,202.5,32.18,5.7
5,True,108,108,1.0,108,52811.0,205.75,14.71,-0.98
5,True,162,108,1.5,162,55645.0,206.0,10.13,-1.1
5,True,216,108,2.0,216,53558.75,184.5,13.5,9.45
6,True,99,99,1.0,99,44089.25,182.75,16.51,0.68
6,True,149,99,1.5,148,44878.0,174.75,15.02,5.03
6,True,198,99,2.0,190,39476.75,177.25,25.25,3.67
7,True,87,87,1.0,87,45684.25,178.5,20.8,6.91
7,True,131,87,1.5,129,44824.0,180.0,22.29,6.13
7,True,174,87,2.0,174,41694.0,180.25,27.71,6.0
8,True,103,103,1.0,103,35750.0,147.5,11.77,-1.37
8,True,155,103,1.5,155,34815.5,132.5,14.08,8.93
8,True,206,103,2.0,189,29865.25,148.75,26.3,-2.23
9,True,100,100,1.0,100,66873.0,286.0,8.64,2.89
9,True,150,100,1.5,150,68445.75,280.75,6.49,4.67
9,True,200,100,2.0,198,63378.5,289.25,13.41,1.78
10,True,99,99,1.0,99,29669.75,160.0,28.75,2.14
10,True,149,99,1.5,104,32825.5,161.75,21.18,1.07
10,True,198,99,2.0,192,34500.75,164.75,17.15,-0.76
11,True,106,106,1.0,106,50687.25,233.25,20.81,1.17
11,True,159,106,1.5,159,53492.0,231.5,16.42,1.91
11,True,212,106,2.0,207,51907.25,237.5,18.9,-0.64
12,True,114,114,1.0,114,38740.0,167.25,13.75,-1.52
12,True,171,114,1.5,171,38965.0,168.5,13.25,-2.28
12,True,228,114,2.0,220,37949.0,171.0,15.51,-3.79
13,True,101,101,1.0,101,34198.25,152.25,29.57,10.04
13,True,152,101,1.5,123,34508.5,153.25,28.93,9.45
13,True,202,101,2.0,202,32717.25,158.25,32.62,6.5
14,True,95,95,1.0,95,52653.25,217.5,11.76,1.14
14,True,143,95,1.5,112,55095.25,219.25,7.67,0.34
14,True,190,95,2.0,190,46443.5,221.75,22.17,-0.8
15,True,101,101,1.0,101,38842.0,187.25,17.78,2.85
15,True,152,101,1.5,152,39241.0,189.75,16.93,1.56
15,True,202,101,2.0,202,33310.5,202.0,29.49,-4.8
