Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%),Group
0,True,105,105,1.0,105,23723.25,236.5,16.61,1.56,Carbon-Aware
0,True,158,105,1.5,141,15676.75,243.0,44.9,-1.14,Carbon-Aware
0,True,210,105,2.0,146,16448.0,244.75,42.18,-1.87,Carbon-Aware
1,True,102,102,1.0,102,30949.25,288.25,18.87,3.43,Carbon-Aware
1,True,153,102,1.5,150,21153.0,291.25,44.55,2.43,Carbon-Aware
1,True,204,102,2.0,204,21275.75,290.25,44.23,2.76,Carbon-Aware
2,True,104,104,1.0,104,32338.25,298.0,10.52,2.38,Carbon-Aware
2,True,156,104,1.5,148,21756.5,289.5,39.8,5.16,Carbon-Aware
2,True,208,104,2.0,206,21825.5,293.5,39.61,3.85,Carbon-Aware
3,True,95,95,1.0,95,37919.25,217.0,10.94,0.8,Carbon-Aware
3,True,143,95,1.5,143,25729.5,209.5,39.57,4.23,Carbon-Aware
3,True,190,95,2.0,190,10505.0,213.5,75.33,2.4,Carbon-Aware
4,True,70,70,1.0,70,36277.75,237.25,3.84,2.87,Carbon-Aware
4,True,105,70,1.5,105,32018.5,231.75,15.13,5.12,Carbon-Aware
4,True,140,70,2.0,140,26637.75,229.5,29.4,6.04,Carbon-Aware
5,True,108,108,1.0,108,32944.25,234.75,30.53,2.69,Carbon-Aware
5,True,162,108,1.5,162,20973.75,229.75,55.77,4.77,Carbon-Aware
5,True,216,108,2.0,212,9730.75,231.5,79.48,4.04,Carbon-Aware
6,True,117,117,1.0,117,15166.0,317.75,30.29,0.78,Carbon-Aware
6,True,176,117,1.5,176,16044.0,324.25,26.25,-1.25,Carbon-Aware
6,True,234,117,2.0,203,14473.5,320.0,33.47,0.08,Carbon-Aware
7,True,117,117,1.0,117,14413.0,307.25,49.39,0.32,Carbon-Aware
7,True,176,117,1.5,176,14615.0,308.25,48.68,0.0,Carbon-Aware
7,True,234,117,2.0,211,13527.5,306.5,52.5,0.57,Carbon-Aware
8,True,108,108,1.0,108,11905.0,265.0,33.38,-1.15,Carbon-Aware
8,True,162,108,1.5,119,11778.5,266.0,34.09,-1.53,Carbon-Aware
8,True,216,108,2.0,208,11091.75,258.0,37.93,1.53,Carbon-Aware
9,True,100,100,1.0,100,22189.5,279.25,14.16,1.93,Carbon-Aware
9,True,150,100,1.5,125,17497.5,274.25,32.31,3.69,Carbon-Aware
9,True,200,100,2.0,148,17469.75,271.5,32.42,4.65,Carbon-Aware
10,True,111,111,1.0,111,20628.0,313.5,22.51,1.49,Carbon-Aware
10,True,167,111,1.5,152,20085.25,325.5,24.54,-2.28,Carbon-Aware
10,True,222,111,2.0,124,19668.25,322.25,26.11,-1.26,Carbon-Aware
