Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
0,True,105,105,1.0,105,26052.25,233.0,19.17,8.9
0,True,158,105,1.5,154,25087.5,224.75,22.16,12.12
0,True,210,105,2.0,210,24233.75,219.75,24.81,14.08
1,True,102,102,1.0,102,35915.25,286.25,4.16,4.1
1,True,153,102,1.5,153,27345.5,280.0,27.03,6.2
1,True,204,102,2.0,204,33930.75,271.25,9.46,9.13
2,True,104,104,1.0,104,35137.0,291.75,4.35,2.91
2,True,156,104,1.5,154,26815.5,280.0,27.0,6.82
2,True,208,104,2.0,208,36312.75,270.0,1.15,10.15
3,True,95,95,1.0,95,40368.5,211.25,13.26,7.55
3,True,143,95,1.5,143,29332.25,200.75,36.98,12.14
3,True,190,95,2.0,190,19869.75,196.25,57.31,14.11
4,True,70,70,1.0,70,37238.0,234.75,0.88,3.2
4,True,105,70,1.5,105,39609.5,222.25,-5.43,8.35
4,True,140,70,2.0,140,33310.25,216.75,11.33,10.62
5,True,108,108,1.0,108,36913.75,226.75,12.53,8.2
5,True,162,108,1.5,162,28353.5,211.5,32.82,14.37
5,True,216,108,2.0,216,15748.25,206.5,62.68,16.4
6,True,117,117,1.0,117,17608.0,313.5,15.13,2.18
6,True,176,117,1.5,176,22099.75,301.75,-6.52,5.85
6,True,234,117,2.0,234,20100.0,292.5,3.12,8.74
7,True,117,117,1.0,117,20171.5,298.0,10.65,4.56
7,True,176,117,1.5,176,18428.75,286.5,18.37,8.25
7,True,234,117,2.0,232,18010.5,279.5,20.23,10.49
8,True,108,108,1.0,108,14935.5,253.25,40.8,7.15
8,True,162,108,1.5,162,16763.0,240.5,33.56,11.82
8,True,216,108,2.0,216,15406.75,236.25,38.93,13.38
9,True,100,100,1.0,100,23159.0,271.0,10.84,3.47
9,True,150,100,1.5,150,21447.75,260.5,17.42,7.21
9,True,200,100,2.0,200,23166.5,253.0,10.81,9.88
10,True,111,111,1.0,111,22964.5,311.75,15.75,3.33
10,True,167,111,1.5,167,25075.0,298.25,8.0,7.52
10,True,222,111,2.0,222,28938.5,291.25,-6.17,9.69
11,True,106,106,1.0,106,32369.75,376.75,2.85,1.44
11,True,159,106,1.5,159,32233.0,362.5,3.26,5.17
11,True,212,106,2.0,212,32486.25,355.5,2.5,7.0
12,True,117,117,1.0,117,50791.5,298.25,5.96,2.45
12,True,176,117,1.5,174,46920.75,289.25,13.13,5.4
12,True,234,117,2.0,234,34468.0,281.25,36.18,8.01
13,True,112,112,1.0,112,65999.5,366.0,4.09,2.27
13,True,168,112,1.5,167,58376.75,352.5,15.16,5.87
13,True,224,112,2.0,224,52118.5,342.5,24.26,8.54
14,True,101,101,1.0,101,49955.25,312.25,6.95,4.66
14,True,152,101,1.5,152,45900.0,300.0,14.5,8.4
14,True,202,101,2.0,202,42296.0,293.25,21.21,10.46
15,True,106,106,1.0,106,59118.0,300.25,13.38,5.13
15,True,159,106,1.5,156,34515.0,291.0,49.43,8.06
15,True,212,106,2.0,212,38941.75,279.5,42.94,11.69
16,True,102,102,1.0,102,52075.5,265.0,23.15,3.11
16,True,153,102,1.5,152,35208.5,244.75,48.04,10.51
16,True,204,102,2.0,204,30029.25,240.0,55.69,12.25
17,True,123,123,1.0,123,56583.5,351.75,21.19,2.22
17,True,185,123,1.5,185,50719.75,339.5,29.36,5.63
17,True,246,123,2.0,246,39106.0,325.5,45.54,9.52
18,True,105,105,1.0,105,49362.25,292.0,16.51,3.55
18,True,158,105,1.5,158,33877.0,281.5,42.7,7.02
18,True,210,105,2.0,210,29853.5,272.25,49.51,10.07
19,True,100,100,1.0,100,38464.5,226.25,13.67,6.8
19,True,150,100,1.5,150,20466.0,220.5,54.07,9.17
19,True,200,100,2.0,200,21520.0,217.25,51.7,10.5
20,True,102,102,1.0,102,55433.75,341.25,5.15,2.29
20,True,153,102,1.5,153,31734.0,333.0,45.7,4.65
20,True,204,102,2.0,204,28045.25,321.0,52.01,8.09
21,True,99,99,1.0,99,60314.75,251.5,5.83,4.46
21,True,149,99,1.5,149,33944.0,241.75,47.0,8.17
21,True,198,99,2.0,198,28604.25,235.25,55.34,10.64
22,True,111,111,1.0,111,45354.25,249.75,8.19,3.94
22,True,167,111,1.5,167,44064.75,236.75,10.81,8.94
22,True,222,111,2.0,222,26601.5,231.0,46.15,11.15
23,True,86,86,1.0,86,72385.75,314.75,4.04,3.52
23,True,129,86,1.5,129,30612.5,306.5,59.42,6.05
23,True,172,86,2.0,171,42689.25,294.0,43.41,9.89
24,True,105,105,1.0,105,46819.25,266.75,31.98,6.73
24,True,158,105,1.5,158,30280.5,253.5,56.01,11.36
24,True,210,105,2.0,210,24732.0,248.0,64.07,13.29
25,True,98,98,1.0,98,69165.0,262.75,19.64,4.45
25,True,147,98,1.5,147,38627.0,250.75,55.12,8.82
25,True,196,98,2.0,196,31241.5,245.5,63.7,10.73
26,True,105,105,1.0,105,63350.0,239.25,9.42,4.87
26,True,158,105,1.5,158,38578.5,223.5,44.84,11.13
26,True,210,105,2.0,210,24698.0,218.25,64.69,13.22
27,True,100,100,1.0,100,22039.0,201.25,2.04,3.25
27,True,150,100,1.5,150,18062.0,189.0,19.71,9.13
27,True,200,100,2.0,200,17162.0,185.0,23.72,11.06
28,True,117,117,1.0,117,35511.75,353.0,15.51,1.53
28,True,176,117,1.5,176,34956.5,338.0,16.83,5.72
28,True,234,117,2.0,234,32704.0,330.25,22.19,7.88
29,True,83,83,1.0,83,40282.0,252.5,4.1,3.16
29,True,125,83,1.5,125,24270.0,238.0,42.22,8.72
29,True,166,83,2.0,166,25555.75,233.75,39.16,10.35
30,True,94,94,1.0,94,26857.75,233.25,21.69,7.16
30,True,141,94,1.5,141,28937.25,226.25,15.63,9.95
30,True,188,94,2.0,188,24839.5,221.5,27.58,11.84
31,True,89,89,1.0,89,46806.75,308.75,2.89,0.96
31,True,134,89,1.5,134,34044.0,296.25,29.37,4.97
31,True,178,89,2.0,174,34894.5,290.5,27.6,6.82
32,True,110,110,1.0,110,42260.25,287.75,-1.4,0.86
32,True,165,110,1.5,165,32941.25,275.5,20.96,5.08
32,True,220,110,2.0,220,28770.5,261.75,30.96,9.82
33,True,106,106,1.0,106,39907.25,295.25,19.49,3.59
33,True,159,106,1.5,159,24448.25,284.5,50.68,7.1
33,True,212,106,2.0,212,15270.5,278.0,69.19,9.22
34,True,103,103,1.0,103,28022.25,201.5,13.52,5.29
34,True,155,103,1.5,155,11528.25,196.0,64.42,7.87
34,True,206,103,2.0,206,10386.0,191.5,67.95,9.99
35,True,118,118,1.0,118,30536.5,280.0,35.02,4.27
35,True,177,118,1.5,177,18752.0,272.0,60.1,7.01
35,True,236,118,2.0,236,15439.5,267.5,67.15,8.55
36,True,98,98,1.0,98,8624.25,213.75,4.39,2.62
36,True,147,98,1.5,147,8888.5,200.5,1.46,8.66
36,True,196,98,2.0,196,7861.0,196.25,12.85,10.59
37,True,99,99,1.0,99,8868.75,233.5,3.36,3.21
37,True,149,99,1.5,149,9902.0,222.25,-7.9,7.88
37,True,198,99,2.0,197,8569.25,217.0,6.62,10.05
38,True,98,98,1.0,98,9938.25,264.75,5.99,4.77
38,True,147,98,1.5,147,10712.0,251.0,-1.32,9.71
38,True,196,98,2.0,196,10285.5,246.0,2.71,11.51
39,True,93,93,1.0,93,14780.5,291.75,10.11,0.77
39,True,140,93,1.5,139,17840.25,278.5,-8.49,5.27
39,True,186,93,2.0,186,24312.25,273.5,-47.85,6.97
40,True,118,118,1.0,118,20675.75,360.5,6.68,2.57
40,True,177,118,1.5,174,33420.75,346.5,-50.84,6.35
40,True,236,118,2.0,236,27250.0,334.5,-22.99,9.59
41,True,102,102,1.0,102,14157.5,269.25,12.72,4.18
41,True,153,102,1.5,151,19173.75,260.25,-18.2,7.38
41,True,204,102,2.0,204,18461.0,254.75,-13.81,9.34
42,True,128,128,1.0,128,66095.0,362.0,23.68,-0.14
42,True,192,128,1.5,192,55334.5,345.0,36.11,4.56
42,True,256,128,2.0,256,41395.0,335.0,52.2,7.33
43,True,94,94,1.0,94,65961.75,235.25,4.48,3.59
43,True,141,94,1.5,141,46788.5,223.25,32.24,8.5
43,True,188,94,2.0,188,28149.0,220.75,59.24,9.53
44,True,96,96,1.0,96,80503.5,324.5,-1.09,1.89
44,True,144,96,1.5,144,45764.5,310.25,42.53,6.2
44,True,192,96,2.0,192,45310.5,302.5,43.1,8.54
45,True,111,111,1.0,111,29875.25,251.0,13.29,2.24
45,True,167,111,1.5,167,25510.0,237.25,25.96,7.59
45,True,222,111,2.0,222,22608.0,230.75,34.38,10.13
46,True,100,100,1.0,100,63350.25,374.25,0.07,4.22
46,True,150,100,1.5,150,36304.75,365.75,42.73,6.4
46,True,200,100,2.0,200,37749.0,356.75,40.46,8.7
47,True,109,109,1.0,109,32757.0,255.75,29.56,3.94
47,True,164,109,1.5,164,24852.0,245.75,46.56,7.7
47,True,218,109,2.0,218,24054.75,239.25,48.27,10.14
48,True,107,107,1.0,107,27972.75,224.0,11.48,5.68
48,True,161,107,1.5,156,22956.5,215.0,27.36,9.47
