Instance,IsCarbonAware,MaxMakeSpan,MinMakeSpan,SlackCoeff,Makespan,CarbonConsumption(g),EnergyConsumption(kWh),CarbonSavings(%),EnergySavings(%)
0,True,115,115,1.0,115,4971.25,59.25,28.23,0.0
0,True,173,115,1.5,132,3798.75,59.25,45.16,0.0
0,True,230,115,2.0,136,3762.75,59.25,45.68,0.0
1,True,134,134,1.0,134,5417.25,72.0,32.09,0.0
1,True,201,134,1.5,172,5405.75,72.0,32.23,0.0
1,True,268,134,2.0,268,4099.75,72.0,48.61,0.0
2,True,116,116,1.0,116,6968.25,71.75,16.04,0.0
2,True,174,116,1.5,148,5204.25,71.75,37.3,0.0
2,True,232,116,2.0,204,5166.25,71.75,37.75,0.0
3,True,100,100,1.0,100,9314.5,53.0,9.04,0.0
3,True,150,100,1.5,150,6089.75,53.0,40.53,0.0
3,True,200,100,2.0,200,2231.25,53.0,78.21,0.0
4,True,74,74,1.0,74,8721.25,56.75,3.87,0.0
4,True,111,74,1.5,111,7543.5,56.75,16.85,0.0
4,True,148,74,2.0,148,6548.0,56.75,27.82,0.0
5,True,120,120,1.0,120,7929.5,56.0,22.05,0.0
5,True,180,120,1.5,180,2922.25,56.0,71.27,0.0
5,True,240,120,2.0,212,2351.5,56.0,76.88,0.0
6,True,130,130,1.0,130,3854.0,77.75,37.81,0.0
6,True,195,130,1.5,195,3501.5,77.75,43.5,0.0
6,True,260,130,2.0,208,3439.5,77.75,44.5,0.0
7,True,151,151,1.0,151,3806.75,74.5,50.58,0.0
7,True,227,151,1.5,213,3327.0,74.5,56.81,0.0
7,True,302,151,2.0,213,3347.75,74.5,56.54,0.0
8,True,124,124,1.0,124,2781.0,63.25,46.98,0.0
8,True,186,124,1.5,186,2793.0,63.25,46.75,0.0
8,True,248,124,2.0,204,2694.5,63.25,48.63,0.0
9,True,110,110,1.0,110,4696.5,67.0,20.83,0.0
9,True,165,110,1.5,148,4353.25,67.0,26.62,0.0
9,True,220,110,2.0,148,4367.25,67.0,26.38,0.0
10,True,132,132,1.0,132,5199.25,77.25,22.86,0.0
10,True,198,132,1.5,149,5141.0,77.25,23.73,0.0
10,True,264,132,2.0,149,5142.0,77.25,23.71,0.0
11,True,123,123,1.0,123,6675.5,92.25,11.61,0.0
11,True,185,123,1.5,148,6623.25,92.25,12.3,0.0
