Instance,IsCarbonAware,SlackCoeff,Homogen_MaxMakeSpan,Heterogen_MaxMakeSpan
0,True,1.0,115,105.0
1,True,1.0,134,102.0
2,True,1.0,116,104.0
3,True,1.0,100,95.0
4,True,1.0,74,70.0
5,True,1.0,120,108.0
6,True,1.0,130,117.0
7,True,1.0,151,117.0
8,True,1.0,124,108.0
9,True,1.0,110,100.0
10,True,1.0,132,111.0
11,True,1.0,123,106.0
12,True,1.0,139,117.0
13,True,1.0,127,112.0
14,True,1.0,112,101.0
15,True,1.0,136,106.0
16,True,1.0,104,102.0
17,True,1.0,152,123.0
18,True,1.0,139,105.0
19,True,1.0,132,100.0
20,True,1.0,115,102.0
21,True,1.0,111,99.0
22,True,1.0,113,111.0
23,True,1.0,95,86.0
24,True,1.0,117,105.0
25,True,1.0,109,98.0
26,True,1.0,116,105.0
27,True,1.0,110,100.0
28,True,1.0,144,117.0
29,True,1.0,103,83.0
30,True,1.0,104,94.0
31,True,1.0,104,89.0
32,True,1.0,136,110.0
33,True,1.0,117,106.0
34,True,1.0,107,103.0
35,True,1.0,150,118.0
36,True,1.0,101,98.0
37,True,1.0,106,99.0
38,True,1.0,109,98.0
39,True,1.0,99,93.0
40,True,1.0,146,118.0
41,True,1.0,112,102.0
42,True,1.0,160,128.0
43,True,1.0,103,94.0
44,True,1.0,103,96.0
45,True,1.0,121,111.0
46,True,1.0,115,100.0
47,True,1.0,127,109.0
48,True,1.0,114,107.0
49,True,1.0,132,114.0
50,True,1.0,125,93.0
51,True,1.0,108,98.0
52,True,1.0,111,104.0
53,True,1.0,161,119.0
54,True,1.0,109,99.0
55,True,1.0,109,105.0
56,True,1.0,149,121.0
57,True,1.0,113,99.0
58,True,1.0,116,113.0
59,True,1.0,106,95.0
60,True,1.0,108,102.0
61,True,1.0,111,101.0
62,True,1.0,95,91.0
63,True,1.0,154,122.0
64,True,1.0,123,106.0
65,True,1.0,117,98.0
66,True,1.0,131,115.0
67,True,1.0,153,117.0
68,True,1.0,110,102.0
69,True,1.0,153,109.0
70,True,1.0,104,98.0
71,True,1.0,108,99.0
72,True,1.0,142,119.0
73,True,1.0,115,101.0
74,True,1.0,124,106.0
75,True,1.0,126,111.0
76,True,1.0,100,93.0
77,True,1.0,128,113.0
78,True,1.0,110,98.0
79,True,1.0,99,94.0
80,True,1.0,116,104.0
81,True,1.0,132,112.0
82,True,1.0,123,113.0
83,True,1.0,124,98.0
84,True,1.0,126,102.0
85,True,1.0,128,112.0
86,True,1.0,119,107.0
87,True,1.0,112,96.0
88,True,1.0,127,109.0
89,True,1.0,134,114.0
90,True,1.0,111,100.0
91,True,1.0,140,109.0
92,True,1.0,150,124.0
93,True,1.0,129,117.0
94,True,1.0,115,108.0
95,True,1.0,113,95.0
96,True,1.0,109,100.0
97,True,1.0,101,91.0
98,True,1.0,85,82.0
99,True,1.0,108,98.0
100,True,1.0,122,110.0
101,True,1.0,150,123.0
102,True,1.0,99,90.0
103,True,1.0,101,95.0
104,True,1.0,147,119.0
105,True,1.0,110,100.0
106,True,1.0,143,108.0
107,True,1.0,108,98.0
108,True,1.0,112,104.0
109,True,1.0,111,103.0
110,True,1.0,131,108.0
111,True,1.0,122,108.0
112,True,1.0,106,98.0
113,True,1.0,94,89.0
114,True,1.0,98,95.0
115,True,1.0,118,105.0
116,True,1.0,105,98.0
117,True,1.0,186,135.0
118,True,1.0,128,109.0
119,True,1.0,135,116.0
120,True,1.0,107,99.0
121,True,1.0,106,95.0
122,True,1.0,100,96.0
123,True,1.0,125,116.0
124,True,1.0,96,85.0
125,True,1.0,111,103.0
126,True,1.0,123,114.0
127,True,1.0,136,115.0
128,True,1.0,123,112.0
129,True,1.0,109,99.0
130,True,1.0,125,100.0
131,True,1.0,119,103.0
132,True,1.0,152,117.0
133,True,1.0,153,117.0
134,True,1.0,104,97.0
135,True,1.0,154,120.0
136,True,1.0,116,111.0
137,True,1.0,121,110.0
138,True,1.0,110,103.0
139,True,1.0,129,114.0
140,True,1.0,111,89.0
141,True,1.0,113,105.0
142,True,1.0,112,100.0
143,True,1.0,146,121.0
144,True,1.0,117,98.0
145,True,1.0,122,105.0
146,True,1.0,107,88.0
147,True,1.0,175,136.0
148,True,1.0,102,96.0
149,True,1.0,128,95.0
150,True,1.0,112,98.0
151,True,1.0,110,97.0
152,True,1.0,121,99.0
153,True,1.0,116,101.0
154,True,1.0,83,79.0
155,True,1.0,123,105.0
156,True,1.0,117,106.0
157,True,1.0,147,117.0
158,True,1.0,100,98.0
159,True,1.0,115,108.0
160,True,1.0,114,105.0
161,True,1.0,112,105.0
162,True,1.0,120,108.0
163,True,1.0,115,107.0
164,True,1.0,115,106.0
165,True,1.0,108,100.0
166,True,1.0,110,100.0
167,True,1.0,155,117.0
168,True,1.0,124,116.0
169,True,1.0,110,95.0
170,True,1.0,113,104.0
171,True,1.0,132,113.0
172,True,1.0,108,99.0
173,True,1.0,134,111.0
174,True,1.0,104,100.0
175,True,1.0,115,100.0
176,True,1.0,114,105.0
177,True,1.0,113,103.0
178,True,1.0,116,106.0
179,True,1.0,124,108.0
180,True,1.0,110,100.0
181,True,1.0,147,114.0
182,True,1.0,102,93.0
183,True,1.0,121,107.0
184,True,1.0,99,95.0
185,True,1.0,111,109.0
186,True,1.0,89,86.0
187,True,1.0,112,92.0
188,True,1.0,123,
189,True,1.0,108,99.0
190,True,1.0,128,110.0
191,True,1.0,120,106.0
192,True,1.0,122,108.0
193,True,1.0,113,103.0
194,True,1.0,111,102.0
195,True,1.0,125,112.0
196,True,1.0,113,104.0
197,True,1.0,103,97.0
198,True,1.0,98,81.0
199,True,1.0,124,110.0
200,True,1.0,150,120.0
201,True,1.0,114,103.0
202,True,1.0,105,97.0
203,True,1.0,109,93.0
204,True,1.0,108,99.0
205,True,1.0,99,82.0
206,True,1.0,107,86.0
207,True,1.0,130,111.0
208,True,1.0,110,103.0
209,True,1.0,117,100.0
210,True,1.0,185,134.0
211,True,1.0,113,110.0
212,True,1.0,100,97.0
213,True,1.0,123,105.0
214,True,1.0,114,98.0
215,True,1.0,120,112.0
216,True,1.0,110,101.0
217,True,1.0,113,105.0
218,True,1.0,101,85.0
219,True,1.0,103,89.0
220,True,1.0,150,124.0
221,True,1.0,123,108.0
222,True,1.0,110,94.0
223,True,1.0,117,107.0
224,True,1.0,130,112.0
225,True,1.0,126,103.0
